date,close,open,high,low,volume,NASDAQ,NYSE,SP500,FTSE100,NIKKEI225,BSE,RUSSELL2000,HENG SENG,SSE,Oil,gold,VIX,Dollar,AMAZON,Google,microsoft,Sentiment
2012-11-02,21.18,21.26,21.69,21.07,38340000.0,2982.1,8234.9,1414.2,5868.55,9051.22,18755.45,814.37,22111.33,2117.05,84.86,178.96,17.59,80.59,232.42,344.29,29.5,
2012-11-05,21.25,21.1,21.48,20.92,31810000.0,2999.7,8240.3,1417.26,5839.06,9007.44,18762.87,819.54,22006.4,2114.03,85.65,177.78,18.42,80.75,234.33,341.81,29.63,-0.13909487426280975
2012-11-06,21.17,21.24,21.37,20.99,29060000.0,3011.9,8312.3,1428.39,5884.9,8975.15,18817.38,825.81,21944.43,2106.0,88.71,180.83,17.58,80.61,237.56,341.19,29.86,
2012-11-07,20.47,20.85,20.95,20.37,33400000.0,2937.3,8138.8,1394.53,5791.63,8972.89,18902.41,804.52,22099.85,2105.73,84.44,182.39,19.08,80.76,232.06,333.88,29.08,
2012-11-08,19.99,20.52,20.73,19.98,34250000.0,2895.6,8050.8,1377.51,5776.05,8837.15,18846.26,793.65,21566.91,2071.51,85.09,183.63,18.49,80.79,227.35,326.46,28.81,
2012-11-09,19.21,19.95,20.0,19.13,42300000.0,2904.9,8053.6,1379.85,5769.68,8757.6,18683.68,795.02,21384.38,2069.07,86.07,181.11,18.61,81.03,226.31,331.84,28.83,-0.9663729667663574
2012-11-12,20.07,19.15,20.17,18.87,67350000.0,2904.3,8054.1,1380.03,5767.27,8676.44,18670.34,793.76,21430.3,2079.27,85.57,178.71,16.68,81.03,226.47,333.27,28.22,
2012-11-13,19.86,19.61,20.11,19.56,71780000.0,2883.9,8023.2,1374.53,5786.25,8661.05,18618.87,789.01,21188.65,2047.89,85.38,176.72,16.65,81.08,226.6,329.85,27.09,0.34219830110669136
2012-11-14,22.36,20.1,22.5,19.93,229750000.0,2846.8,7903.4,1355.49,5722.01,8664.73,,773.2,21441.99,2055.42,86.32,168.49,17.92,81.06,222.95,326.59,26.84,0.020339877903461458
2012-11-15,22.17,22.34,22.5,21.65,78860000.0,2836.9,7896.9,1353.33,5677.75,8829.72,18471.37,769.48,21108.93,2030.29,85.45,164.36,17.99,81.08,220.6,323.94,26.66,-0.014869756996631622
2012-11-16,23.56,22.25,23.93,22.18,107180000.0,2853.1,7931.5,1359.88,5605.59,9024.16,18309.37,776.28,21159.01,2014.72,86.67,165.67,16.41,81.26,225.23,323.9,26.52,0.5171161890029907
2012-11-19,22.92,23.95,24.12,22.82,85020000.0,2916.1,8080.3,1386.89,5737.66,9153.2,18339.0,791.62,21262.06,2016.98,89.28,170.58,15.24,80.87,229.71,334.43,26.73,-0.4832522422075272
2012-11-20,23.1,22.73,23.9,22.7,46660000.0,2916.7,8086.4,1387.81,5748.1,9142.64,18329.32,793.81,21228.28,2008.92,86.75,168.99,15.08,80.96,233.78,335.31,26.71,
